brand,model,year,body_type,transmission,fuel_type,kilometers,color,seats,interior,payment_option,area,city,date_posted_category,price
BMW,325,1992.0,Sedan,Manual,Benzine,195000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Zahraa Al Maadi,Cairo,Older than a week,365000
Renault,Megane,2021.0,Sedan,Automatic,Benzine,70000.0,Gray,4.0,Other,Cash,Obour City,Cairo,Older than a week,790000
Opel,Vectra,1996.0,Sedan,Manual,Benzine,180000.0,Burgundy,5.0,Full Leather,Cash,Abuu al-Matamer,Beheira,This week,210000
Mitsubishi,Lancer,2017.0,Sedan,Automatic,Benzine,135000.0,Black,5.0,Full Leather,Cash,New Cairo,Cairo,This week,695000
BYD,Song Plus,2025.0,Estate,Automatic,Electric,115500.0,Gray,5.0,Full Leather,Cash,Badr City,Cairo,This week,1880000
Daewoo,Nubira,2006.0,Sedan,Manual,Benzine,150000.0,Blue- Navy Blue,4.0,Full Leather,Cash,Haram,Giza,Older than a week,270000
Land Rover,Evoque,2022.0,SUV,Automatic,Benzine,30000.0,Gray,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,3700000
BYD,Song Plus,2025.0,SUV,Automatic,Electric,115500.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Less than a day,1900000
Faw,Van,2019.0,Van / Bus,Manual,Benzine,150000.0,Silver,7.0,Full Leather,Cash,Maadi,Cairo,Older than a week,250000
Hyundai,Tucson,2017.0,SUV,Automatic,Benzine,230000.0,Black,4.0,Cloth,Cash,Dokki,Giza,This week,1050000
Hyundai,Matrix,2001.0,Hatchback,Automatic,Benzine,250000.0,Silver,4.0,Cloth,Cash,Fayoum City,Fayoum,Less than a day,390000
Fiat,132,2000.0,Sedan,Manual,Benzine,500000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Bilbeis,Sharqia,This week,80000
Mercedes-Benz,EQE 500,2024.0,SUV,Automatic,Electric,115500.0,Black,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Older than a week,4175000
Kia,Sportage,2020.0,Hatchback,Automatic,Benzine,83000.0,Silver,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,1520000
MG,MG 5,2026.0,Sedan,Automatic,Benzine,115500.0,Silver,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,980000
Toyota,Other,2017.0,Sedan,Automatic,Benzine,148000.0,Black,5.0,Full Leather,Cash,Banha,Qalyubia,Older than a week,900000
MG,ZS,2026.0,Estate,Automatic,Benzine,115500.0,Other Color,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,1060000
Kia,Cerato,2016.0,Sedan,Automatic,Benzine,161000.0,Red,5.0,Full Leather,Cash,Agouza,Giza,This week,700000
Nissan,Sunny,2025.0,Sedan,Automatic,Benzine,115500.0,Gray,4.0,Full Leather,Cash or Installment,New Cairo,Cairo,Less than a day,730000
Peugeot,406,2002.0,Sedan,Automatic,Benzine,173000.0,Black,5.0,Full Leather,Cash,Dokki,Giza,Older than a week,450000
Audi,A5,2021.0,Sedan,Automatic,Benzine,37000.0,Silver,5.0,Full Leather,Cash,Sporting,Alexandria,Less than a day,2450000
Hyundai,Avante,2008.0,Sedan,Automatic,Benzine,250000.0,Silver,5.0,Full Leather,Cash or Installment,Mohandessin,Giza,Less than a day,510000
Changhe,Other,2018.0,Pickup,Manual,Benzine,120000.0,White,5.0,Full Leather,Cash,Mansura,Dakahlia,This week,310000
Kia,Pride,1999.0,Hatchback,Manual,Benzine,50000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Maadi Grand City,Zahraa Al Maadi,Older than a week,200000
Mercedes-Benz,E200,2025.0,Sedan,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,Rehab City Compound,New Cairo,This week,5600000
Mazda,3,2010.0,Sedan,Automatic,Benzine,196000.0,Blue- Navy Blue,4.0,Full Leather,Cash or Installment,Ismailia City,Ismailia,Older than a week,485000
Mercedes-Benz,CLA 180,2015.0,Sedan,Automatic,Benzine,80000.0,White,5.0,Full Leather,Cash,Nasr City,Cairo,Older than a week,1500000
Daewoo,Lanos,1999.0,Sedan,Manual,Benzine,170000.0,Red,5.0,Full Leather,Cash,Abasiya,Cairo,This week,235000
Geely,Pandido,2011.0,Sedan,Automatic,Benzine,81000.0,Black,5.0,Full Leather,Cash,Haram,Giza,This week,290000
Mercedes-Benz,E200,2025.0,Sedan,Manual,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,5850000
Chevrolet,Lanos,2013.0,Sedan,Manual,Benzine,203000.0,Black,5.0,Full Leather,Cash,Heliopolis,Cairo,This week,300000
MG,ZS,2026.0,SUV,Automatic,Benzine,115500.0,Silver,5.0,Full Leather,Cash,Mohandessin,Giza,This week,1050000
BMW,318,2002.0,Sedan,Automatic,Benzine,470000.0,Other Color,4.0,Full Leather,Cash,Privado,Madinaty,Older than a week,510000
Mercedes-Benz,GLC 300,2024.0,4X4,Automatic,Benzine,7000.0,White,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,5350000
Opel,Mokka,2024.0,SUV,Automatic,Benzine,14000.0,Black,5.0,Other,Cash,King Mariout,Alexandria,Older than a week,1350000
MG,MG 5,2022.0,Sedan,Automatic,Benzine,75000.0,Red,4.0,Full Leather,Cash or Installment,Damietta City,Damietta,Older than a week,785000
Kia,Spectra,2004.0,Sedan,Automatic,Benzine,29000.0,Silver,5.0,Full Leather,Cash,Tanta,Gharbia,This week,340000
Chevrolet,Cruze,2010.0,Sedan,Automatic,Benzine,360000.0,Black,5.0,Full Leather,Cash,Salam City,Cairo,This week,350000
Peugeot,508,2015.0,Sedan,Automatic,Benzine,240.0,Gray,5.0,Full Leather,Cash,New Cairo,Cairo,Older than a week,700000
Kia,Xceed,2022.0,Sedan,Automatic,Benzine,91000.0,Silver,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Older than a week,1150000
Chery,Tiggo 4,2026.0,SUV,Automatic,Benzine,115500.0,Gray,5.0,Full Leather,Cash or Installment,Zahraa Madinat Nasr,Nasr City,Older than a week,1010000
Ford,Kuga,2019.0,SUV,Automatic,Benzine,212000.0,Gray,5.0,Full Leather,Cash,Heliopolis,Cairo,This week,960000
Mercedes-Benz,200,1980.0,Sedan,Automatic,Benzine,200000.0,White,4.0,Full Leather,Cash,Abasiya,Cairo,Older than a week,180000
Nissan,Sunny,2023.0,Sedan,Automatic,Benzine,55000.0,Black,5.0,Velour,Cash,Madinaty,Cairo,This week,600000
Mercedes-Benz,C200,2019.0,Sedan,Automatic,Benzine,120000.0,White,5.0,Full Leather,Cash,El Shorouk 2000,Shorouk City,Older than a week,2600000
Daewoo,Juliet,1999.0,Hatchback,Manual,Benzine,218000.0,Beige,5.0,Full Leather,Cash,Shubra,Cairo,Older than a week,240000
Mercedes-Benz,GLC 200,2022.0,SUV,Automatic,Benzine,8000.0,Black,5.0,Full Leather,Cash,Shatby,Alexandria,Less than a day,3750000
Volkswagen,Passat,2008.0,Sedan,Automatic,Benzine,260000.0,Silver,5.0,Full Leather,Cash,Smoha,Alexandria,This week,780000
Jeep,Cherokee,2011.0,4X4,Automatic,Benzine,155.0,Black,4.0,Full Leather,Cash,Haram,Giza,Older than a week,900000
Peugeot,RCZ,2012.0,Sports / Coupe,Automatic,Benzine,95000.0,Silver,5.0,Full Leather,Cash,Palm Hills,6th of October,Older than a week,850000
Zeekr,X,2025.0,Other,Automatic,Electric,115500.0,White,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,2100000
Audi,Q8,2025.0,SUV,Automatic,Benzine,115500.0,Gray,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,7600000
