source_url,title,price,location,date_posted,fuel_type,kilometers,year,body_type,engine_capacity_cc,transmission,color,doors,seats,payment_option,brand,model,power_hp,air_conditioning,interior,owners,consumption,extra_features
https://www.dubizzle.com.eg/en/ad/bmw-325-1992-ID205128858.html,BMW 325 1992,"EGP 365,000","Zahraa Al Maadi, Cairo",2 weeks ago,Benzine,195000,1992,Sedan,,Manual,Blue- Navy Blue,,,Cash,BMW,325,,A/C manual,,,,
https://www.dubizzle.com.eg/en/ad/renault-megane-2021-ID205120641.html,Renault Megane 2021,"EGP 790,000","Obour City, Cairo",1 week ago,Benzine,70000,2021,Sedan,,Automatic,Gray,4/5,4,Cash,Renault,Megane,,Automatic air conditioning 4 zones,Other,,,
https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%88%D8%A8%D9%84-%D9%81%D9%8A%D9%83%D8%AA%D8%B1%D8%A7-1996-IDh7009448.html,اوبل فيكترا 1996,"EGP 210,000","Abuu al-Matamer, Beheira",6 days ago,Benzine,180000,1996,,,Manual,Burgundy,,,,Opel,Vectra,,,Full Leather,,,
https://www.dubizzle.com.eg/en/ad/%D9%85%D9%8A%D8%AA%D8%B3%D9%88%D8%A8%D9%8A%D8%B4%D9%8A-%D9%84%D8%A7%D9%86%D8%B3%D8%B1-2017-mitsubishi-lancer-2017-ID205221844.html,ميتسوبيشي لانسر 2017 Mitsubishi Lancer 2017,"EGP 695,000","New Cairo, Cairo",2 days ago,Benzine,135000,2017,Sedan,,Automatic,Black,4/5,,Cash,Mitsubishi,Lancer,,,Full Leather,,,
https://www.dubizzle.com.eg/en/ad/%D8%A8%D9%89-%D9%88%D8%A7%D9%89-%D8%AF%D9%89-%D8%B3%D9%88%D9%86%D8%AC-%D8%A8%D9%84%D8%B3-2025-ID205197056.html,بى واى دى سونج بلس 2025,"EGP 1,880,000","Badr City, Cairo",3 days ago,Electric,-,2025,Estate,,Automatic,Gray,4/5,5,Cash,BYD,Song Plus,,Automatic air conditioning,,,,
https://www.dubizzle.com.eg/en/ad/daewoo-nubira-2006-ID205130257.html,Daewoo Nubira 2006,"EGP 270,000","Haram, Giza",2 weeks ago,Benzine,150000,2006,Sedan,,Manual,Blue- Navy Blue,4/5,4,Cash,Daewoo,Nubira,500,A/C manual,,,,
https://www.dubizzle.com.eg/en/ad/land-rover-evoque-2022-p300e-%D9%84%D8%A7%D9%86%D8%AF-%D8%B1%D9%88%D9%81%D8%B1-%D8%A7%D9%8A%D9%81%D9%88%D9%83-ID204592262.html,Land Rover Evoque 2022 P300e لاند روفر ايفوك,"EGP 3,700,000","New Cairo, Cairo",1 week ago,Benzine,30000,2022,SUV,,Automatic,Gray,4/5,5,Cash or Installment,Land Rover,Evoque,300,Automatic air conditioning 2 zones,Full Leather,,,
https://www.dubizzle.com.eg/en/ad/byd-song-plus-605-flag-ship-2025-ID204865512.html,BYD Song Plus 605 flag ship 2025,"EGP 1,900,000","New Cairo, Cairo",11 hours ago,Electric,-,2025,SUV,,Automatic,Black,4/5,5,Cash or Installment,BYD,Song Plus,,Automatic air conditioning 4 zones,Full Leather,,,
https://www.dubizzle.com.eg/en/ad/%D9%81%D8%A7%D9%88-%D9%81%D8%A7%D9%86-2019-ID205148453.html,فاو فان 2019,"EGP 250,000","Maadi, Cairo",1 week ago,Benzine,150000,2019,Van / Bus,,Manual,Silver,,7,Cash,Faw,Van,10,A/C manual,Full Leather,,,
https://www.dubizzle.com.eg/en/ad/hyundai-tucson-2017-ID205202677.html,Hyundai Tucson 2017,"EGP 1,050,000","Dokki, Giza",3 days ago,Benzine,230000,2017,SUV,,Automatic,Black,4/5,4,Cash,Hyundai,Tucson,180,Automatic air conditioning,Cloth,,,
